n,max_N,min_M
7807,675376,373199
7808,7808,1040767
7809,50056,998519
7810,11716,1036859
7811,35152,1013423
7812,7812,1040763
7813,23440,1025135
7814,17584,1030991
7815,52756,995819
7816,9232,1039343
7817,84544,964031
7818,11728,1036847
7819,35188,1013387
7820,9232,1039343
7821,23464,1025111
7822,33424,1015151
7823,79216,969359
7824,7824,1040751
7825,23476,1025099
7826,19816,1028759
7827,35224,1013351
7828,7828,1040747
7829,23488,1025087
7830,17620,1030955
7831,52864,995711
7832,7832,1040743
7833,26440,1022135
7834,11752,1036823
7835,100420,948155
7836,80512,968063
7837,80512,968063
7838,80512,968063
7839,200932,847643
7840,7840,1040735
7841,23524,1025051
7842,11764,1036811
7843,35296,1013279
7844,190996,857579
7845,190996,857579
7846,190996,857579
7847,67048,981527
7848,7848,1040727
7849,381976,666599
7850,11776,1036799
7851,37744,1010831
7852,9448,1039127
7853,23560,1025015
7854,26512,1022063
7855,79540,969035
7856,9232,1039343
7857,23572,1025003
7858,13264,1035311
7859,35368,1013207
7860,9232,1039343
7861,23584,1024991
7862,85048,963527
7863,85048,963527
7864,9232,1039343
7865,26548,1022027
7866,11800,1036775
7867,39832,1008743
7868,19924,1028651
7869,23608,1024967
7870,59776,988799
7871,179332,869243
7872,7872,1040703
7873,23620,1024955
7874,345544,703031
7875,345544,703031
7876,7876,1040699
7877,23632,1024943
7878,17728,1030847
7879,53188,995387
7880,7880,1040695
7881,39904,1008671
7882,11824,1036751
7883,95956,952619
7884,8872,1039703
7885,23656,1024919
7886,575728,472847
7887,575728,472847
7888,7888,1040687
7889,23668,1024907
7890,29968,1018607
7891,35512,1013063
7892,7892,1040683
7893,23680,1024895
7894,250504,798071
7895,250504,798071
7896,7896,1040679
7897,26656,1021919
7898,11848,1036727
7899,59992,988583
7900,13336,1035239
7901,23704,1024871
7902,45016,1003559
7903,120040,928535
7904,7904,1040671
7905,250504,798071
7906,11860,1036715
7907,35584,1012991
7908,9232,1039343
7909,23728,1024847
7910,17800,1030775
7911,101392,947183
7912,7912,1040663
7913,60100,988475
7914,11872,1036703
7915,45088,1003487
7916,10024,1038551
7917,23752,1024823
7918,26728,1021847
7919,202984,845591
7920,14308,1034267
7921,23764,1024811
7922,33856,1014719
7923,35656,1012919
7924,14308,1034267
7925,23776,1024799
7926,20068,1028507
7927,53512,995063
7928,15064,1033511
7929,30112,1018463
7930,15064,1033511
7931,67768,980807
7932,50848,997727
7933,50848,997727
7934,135592,912983
7935,2316760,18905
7936,9232,1039343
7937,23812,1024763
7938,11908,1036667
7939,35728,1012847
7940,7940,1040635
7941,23824,1024751
7942,17872,1030703
7943,53620,994955
7944,8080,1040495
7945,50920,997655
7946,11920,1036655
7947,35764,1012811
7948,8944,1039631
7949,23848,1024727
7950,26836,1021739
7951,80512,968063
7952,7952,1040623
7953,23860,1024715
7954,22660,1025915
7955,35800,1012775
7956,7956,1040619
7957,23872,1024703
7958,17908,1030667
7959,53728,994847
7960,7960,1040615
7961,51028,997547
7962,11944,1036631
7963,497176,551399
7964,13444,1035131
7965,23896,1024679
7966,40336,1008239
7967,121012,927563
7968,7968,1040607
7969,23908,1024667
7970,11956,1036619
7971,35872,1012703
7972,10096,1038479
7973,23920,1024655
7974,17944,1030631
7975,60568,988007
7976,7976,1040599
7977,90880,957695
7978,11968,1036607
7979,35908,1012667
7980,8980,1039595
7981,23944,1024631
7982,26944,1021631
7983,80836,967739
7984,7984,1040591
7985,23956,1024619
7986,13480,1035095
7987,35944,1012631
7988,7988,1040587
7989,23968,1024607
7990,45520,1003055
7991,53944,994631
7992,11392,1037183
7993,26980,1021595
7994,11992,1036583
7995,40480,1008095
7996,20248,1028327
7997,23992,1024583
7998,129760,918815
7999,182248,866327
8000,9232,1039343
8001,24004,1024571
8002,12004,1036571
8003,36016,1012559
8004,8004,1040571
8005,24016,1024559
8006,18016,1030559
8007,68416,980159
8008,21688,1026887
8009,40552,1008023
8010,21688,1026887
8011,36052,1012523
8012,21688,1026887
8013,24040,1024535
8014,30436,1018139
8015,81160,967415
8016,9232,1039343
8017,24052,1024523
8018,250504,798071
8019,250504,798071
8020,9232,1039343
8021,24064,1024511
8022,32560,1016015
8023,54160,994415
8024,8584,1039991
8025,27088,1021487
8026,12040,1036535
8027,146500,902075
8028,13552,1035023
8029,24088,1024487
8030,40660,1007915
8031,121984,926591
8032,9232,1039343
8033,34324,1014251
8034,12052,1036523
8035,36160,1012415
8036,8036,1040539
8037,24112,1024463
8038,18088,1030487
8039,695464,353111
8040,9232,1039343
8041,61072,987503
8042,12064,1036511
8043,36196,1012379
8044,15280,1033295
8045,24136,1024439
8046,27160,1021415
8047,91672,956903
8048,9232,1039343
8049,24148,1024427
8050,13588,1034987
8051,36232,1012343
8052,9232,1039343
8053,24160,1024415
8054,20392,1028183
8055,54376,994199
8056,39364,1009211
8057,176740,871835
8058,39364,1009211
8059,40804,1007771
8060,39364,1009211
8061,39364,1009211
8062,103336,945239
8063,275560,773015
