n0,L,steps_to_1,max_N,max_M,theorem_ok,avg_H_N,avg_H_M,avg_H_diff,avg_ham_dist,final_M_at_N1
253,20,109,9232,1048574,True,0.770401,0.770401,0.000000,20.000000,1048574
254,20,47,4372,1048574,True,0.690265,0.690265,0.000000,20.000000,1048574
255,20,47,13120,1048574,True,0.705985,0.705985,0.000000,20.000000,1048574
256,20,8,256,1048574,True,0.286397,0.286397,0.000000,20.000000,1048574
257,20,122,9232,1048574,True,0.746734,0.746734,0.000000,20.000000,1048574
258,20,122,9232,1048574,True,0.750187,0.750187,0.000000,20.000000,1048574
259,20,122,9232,1048574,True,0.754300,0.754300,0.000000,20.000000,1048574
260,20,29,260,1048574,True,0.513680,0.513680,0.000000,20.000000,1048574
261,20,29,784,1048574,True,0.527764,0.527764,0.000000,20.000000,1048574
262,20,29,592,1048574,True,0.535237,0.535237,0.000000,20.000000,1048574
263,20,78,9232,1048574,True,0.751550,0.751550,0.000000,20.000000,1048574
264,20,29,264,1048574,True,0.516457,0.516457,0.000000,20.000000,1048574
265,20,122,9232,1048574,True,0.771448,0.771448,0.000000,20.000000,1048574
266,20,29,400,1048574,True,0.535237,0.535237,0.000000,20.000000,1048574
267,20,21,1204,1048574,True,0.555940,0.555940,0.000000,20.000000,1048574
268,20,29,304,1048574,True,0.542709,0.542709,0.000000,20.000000,1048574
269,20,29,808,1048574,True,0.553918,0.553918,0.000000,20.000000,1048574
270,20,42,916,1048574,True,0.592910,0.592910,0.000000,20.000000,1048574
271,20,42,2752,1048574,True,0.603579,0.603579,0.000000,20.000000,1048574
272,20,16,272,1048574,True,0.440145,0.440145,0.000000,20.000000,1048574
273,20,29,820,1048574,True,0.577798,0.577798,0.000000,20.000000,1048574
274,20,91,9232,1048574,True,0.756922,0.756922,0.000000,20.000000,1048574
275,20,91,9232,1048574,True,0.761852,0.761852,0.000000,20.000000,1048574
276,20,16,276,1048574,True,0.481570,0.481570,0.000000,20.000000,1048574
277,20,16,832,1048574,True,0.488163,0.488163,0.000000,20.000000,1048574
278,20,42,628,1048574,True,0.611437,0.611437,0.000000,20.000000,1048574
279,20,42,1888,1048574,True,0.623005,0.623005,0.000000,20.000000,1048574
280,20,16,280,1048574,True,0.478187,0.478187,0.000000,20.000000,1048574
281,20,42,952,1048574,True,0.637338,0.637338,0.000000,20.000000,1048574
282,20,16,424,1048574,True,0.504560,0.504560,0.000000,20.000000,1048574
283,20,60,9232,1048574,True,0.725959,0.725959,0.000000,20.000000,1048574
284,20,104,9232,1048574,True,0.757262,0.757262,0.000000,20.000000,1048574
285,20,104,9232,1048574,True,0.759815,0.759815,0.000000,20.000000,1048574
286,20,104,9232,1048574,True,0.764617,0.764617,0.000000,20.000000,1048574
287,20,42,4372,1048574,True,0.663143,0.663143,0.000000,20.000000,1048574
288,20,24,288,1048574,True,0.477546,0.477546,0.000000,20.000000,1048574
289,20,29,868,1048574,True,0.607103,0.607103,0.000000,20.000000,1048574
290,20,117,9232,1048574,True,0.753728,0.753728,0.000000,20.000000,1048574
291,20,117,9232,1048574,True,0.754157,0.754157,0.000000,20.000000,1048574
292,20,117,9232,1048574,True,0.758521,0.758521,0.000000,20.000000,1048574
293,20,117,9232,1048574,True,0.762886,0.762886,0.000000,20.000000,1048574
294,20,117,9232,1048574,True,0.761801,0.761801,0.000000,20.000000,1048574
295,20,55,2248,1048574,True,0.688279,0.688279,0.000000,20.000000,1048574
296,20,24,296,1048574,True,0.511349,0.511349,0.000000,20.000000,1048574
297,20,73,9232,1048574,True,0.756137,0.756137,0.000000,20.000000,1048574
298,20,24,448,1048574,True,0.520316,0.520316,0.000000,20.000000,1048574
299,20,117,9232,1048574,True,0.771467,0.771467,0.000000,20.000000,1048574
300,20,16,340,1048574,True,0.491353,0.491353,0.000000,20.000000,1048574
301,20,16,904,1048574,True,0.496609,0.496609,0.000000,20.000000,1048574
302,20,16,1024,1048574,True,0.471649,0.471649,0.000000,20.000000,1048574
303,20,42,3076,1048574,True,0.638528,0.638528,0.000000,20.000000,1048574
304,20,24,304,1048574,True,0.520316,0.520316,0.000000,20.000000,1048574
305,20,37,916,1048574,True,0.571232,0.571232,0.000000,20.000000,1048574
306,20,37,520,1048574,True,0.562622,0.562622,0.000000,20.000000,1048574
307,20,37,1384,1048574,True,0.571009,0.571009,0.000000,20.000000,1048574
308,20,24,308,1048574,True,0.542733,0.542733,0.000000,20.000000,1048574
309,20,24,928,1048574,True,0.546307,0.546307,0.000000,20.000000,1048574
